Mês,Ano,Vendas,Total custo,Total venda,Valor lucro,%Lucro
JANEIRO,2011,0,"0,00","0,00","0,00","0,00%"
FEVEREIRO,2011,0,"0,00","0,00","0,00","0,00%"
MARÇO,2011,0,"0,00","0,00","0,00","0,00%"
ABRIL,2011,0,"0,00","0,00","0,00","0,00%"
MAIO,2011,0,"0,00","0,00","0,00","0,00%"
JUNHO,2011,0,"0,00","0,00","0,00","0,00%"
JULHO,2011,0,"0,00","0,00","0,00","0,00%"
AGOSTO,2011,0,"0,00","0,00","0,00","0,00%"
SETEMBRO,2011,1,"0,00","399,90","399,90","100,00%"
OUTUBRO,2011,65,"345,40","8.905,44","8.560,04","96,12%"
NOVEMBRO,2011,72,"307,50","10.114,13","9.806,63","96,96%"
DEZEMBRO,2011,141,"122,80","18.119,71","17.996,91","99,32%"
JANEIRO,2012,38,"79,90","5.207,64","5.127,74","98,47%"
FEVEREIRO,2012,62,"0,00","5.374,15","5.374,15","100,00%"
MARÇO,2012,87,"99,90","8.258,72","8.158,82","98,79%"
ABRIL,2012,43,"98,90","4.628,82","4.529,92","97,86%"
MAIO,2012,75,"0,00","12.084,75","12.084,75","100,00%"
JUNHO,2012,45,"62,90","8.277,76","8.214,86","99,24%"
JULHO,2012,49,"0,00","8.167,03","8.167,03","100,00%"
AGOSTO,2012,45,"59,90","3.275,59","3.215,69","98,17%"
SETEMBRO,2012,10,"0,00","731,15","731,15","100,00%"
OUTUBRO,2012,22,"0,00","3.744,20","3.744,20","100,00%"
NOVEMBRO,2012,33,"0,00","6.958,16","6.958,16","100,00%"
DEZEMBRO,2012,21,"0,00","2.854,90","2.854,90","100,00%"
JANEIRO,2013,6,"0,00","555,50","555,50","100,00%"
FEVEREIRO,2013,113,"0,00","17.744,56","17.744,56","100,00%"
MARÇO,2013,100,"0,00","22.195,12","22.195,12","100,00%"
ABRIL,2013,89,"0,00","18.247,15","18.247,15","100,00%"
MAIO,2013,117,"0,00","20.593,81","20.593,81","100,00%"
JUNHO,2013,66,"0,00","13.344,48","13.344,48","100,00%"
JULHO,2013,68,"0,00","13.372,32","13.372,32","100,00%"
AGOSTO,2013,92,"0,00","14.832,60","14.832,60","100,00%"
SETEMBRO,2013,79,"0,00","16.978,15","16.978,15","100,00%"
OUTUBRO,2013,96,"60,00","21.076,62","21.016,62","99,72%"
NOVEMBRO,2013,74,"0,00","18.222,12","18.222,12","100,00%"
DEZEMBRO,2013,134,"0,00","30.503,54","30.503,54","100,00%"
JANEIRO,2014,47,"1.230,84","7.143,69","5.912,85","82,77%"
FEVEREIRO,2014,60,"6.203,94","9.718,92","3.514,98","36,17%"
MARÇO,2014,71,"7.361,70","15.765,95","8.404,25","53,31%"
ABRIL,2014,84,"7.881,08","16.270,37","8.389,29","51,56%"
MAIO,2014,64,"6.793,75","13.763,64","6.969,89","50,64%"
JUNHO,2014,81,"11.940,38","20.444,68","8.504,30","41,60%"
JULHO,2014,84,"7.205,89","14.393,50","7.187,61","49,94%"
AGOSTO,2014,63,"6.048,19","10.420,29","4.372,10","41,96%"
SETEMBRO,2014,97,"13.202,35","25.660,29","12.457,94","48,55%"
OUTUBRO,2014,62,"6.678,75","13.014,60","6.335,85","48,68%"
NOVEMBRO,2014,99,"10.924,03","19.812,36","8.888,33","44,86%"
DEZEMBRO,2014,115,"13.447,57","27.067,62","13.620,05","50,32%"
JANEIRO,2015,41,"3.879,95","6.681,89","2.801,94","41,93%"
FEVEREIRO,2015,42,"3.625,51","5.034,17","1.408,66","27,98%"
MARÇO,2015,67,"7.507,42","14.759,45","7.252,03","49,13%"
ABRIL,2015,53,"6.453,55","12.515,53","6.061,98","48,44%"
MAIO,2015,86,"10.476,14","21.715,07","11.238,93","51,76%"
JUNHO,2015,52,"6.204,60","12.560,84","6.356,24","50,60%"
JULHO,2015,69,"7.341,41","14.198,48","6.857,07","48,29%"
AGOSTO,2015,68,"8.307,88","13.570,87","5.262,99","38,78%"
SETEMBRO,2015,65,"9.134,50","17.650,43","8.515,93","48,25%"
OUTUBRO,2015,65,"7.700,94","15.316,21","7.615,27","49,72%"
NOVEMBRO,2015,64,"8.149,19","16.412,49","8.263,30","50,35%"
DEZEMBRO,2015,86,"11.181,08","22.499,65","11.318,57","50,31%"
JANEIRO,2016,28,"3.100,07","5.301,89","2.201,82","41,53%"
FEVEREIRO,2016,45,"4.256,36","6.484,83","2.228,47","34,36%"
MARÇO,2016,75,"8.535,22","17.976,91","9.441,69","52,52%"
ABRIL,2016,82,"10.868,48","22.766,11","11.897,63","52,26%"
