Código,Nome,Unidade,Quantidade,Total custo,Total venda,Valor lucro,%Lucro
000,BLUSA SOMEDY,UN,4,"200,00","345,20","145,20","42,06%"
0,BRINCO BIJU,UN,1,"9,50","19,00","9,50","50,00%"
00000001,CALÇA CAROL,UN,1,"87,00","174,00","87,00","50,00%"
1,PEÇAS CAROL,UN,99,"35,00","1.917,78","1.882,78","98,17%"
0001,PEÇA,UN,1,"0,00","129,90","129,90","100,00%"
0002,VESTIDO,UN,3,"119,40","246,59","127,19","51,57%"
2,BRINCOS PROM.,UN,3,"0,00","29,90","29,90","100,00%"
002,REGATAS,UN,21,"0,00","1.077,25","1.077,25","100,00%"
0003,VESTIDO,UN,2,"90,00","150,20","60,20","40,07%"
3,OCULOS,UN,96,"4.263,90","8.786,77","4.522,87","51,47%"
03,ÓCULOS,UN,89,"4.540,00","9.454,50","4.914,50","51,98%"
003,BLUSA RENDA,UN,2,"50,00","146,25","96,25","65,81%"
0004,BLUSA BORDO COM ESTAMP FRNETE COM BRILHO,UN,6,"305,00","653,00","348,00","53,29%"
4,"BIQUINI, TOP, SUNGA, E SAIDA DE PRAIA",UN,19,"0,00","294,80","294,80","100,00%"
00005,SHORTS PKD,UN,1,"79,80","104,89","25,09","23,92%"
5,BERMUDAS ROVITEX,UN,19,"0,00","396,00","396,00","100,00%"
6,CINTO ELASTICO,UN,15,"0,00","206,25","206,25","100,00%"
07,BLUSA ELASTANO SUBLIMAÇÃO,UN,1,"39,90","87,00","47,10","54,13%"
7,BOLSA BEGE,UN,1,"0,00","120,00","120,00","100,00%"
008,BLUSA C/ MANGA ROSA POA,UN,8,"0,00","389,25","389,25","100,00%"
8,CINTO ELASTICO LARGO,UN,14,"0,00","297,50","297,50","100,00%"
0009,BLUSA PKD,UN,2,"109,60","133,01","23,41","17,60%"
9,BOLSAS,UN,11,"0,00","849,00","849,00","100,00%"
010,CARDIGÃ KIMONO,UN,1,"35,00","128,70","93,70","72,80%"
10,BOLSA BEGE,UN,1,"0,00","120,00","120,00","100,00%"
11,CINTO DELEGADA,UN,6,"0,00","258,25","258,25","100,00%"
012,BLUSA ALÇA LISA,UN,1,"25,50","38,39","12,89","33,57%"
12,CAMISAS VEST CHICK,UN,3,"0,00","355,50","355,50","100,00%"
00013,SHORTS PKD,UN,2,"169,60","336,09","166,49","49,53%"
013,BLUSA ELASTANO LISA G,UN,2,"59,80","128,00","68,20","53,28%"
00014,SHORTS PKD,UN,1,"84,80","59,91","-24,89","-41,54%"
014,CAMISETA,UN,8,"139,50","482,13","342,63","71,06%"
